Id	feature0	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	
1	0.0	0.367653188829	0.0	0.371428571429	0.0787878787879	0.198871650212	0.259036144578	0.0522927909231	0.0	1.0	0.428903106556	0.0	1.0	0.678787878788	0.770644282292	0.349753694581	0.343511450382	1.0	0.0181818181818	0.0	1.0	0.79393939394	0.204545454545	0.115702479339	0.213263979194	0.463501809843	0.786284953395	0.466062198119	
2	0.0	0.298874531055	0.0	0.571428571429	0.136690647482	0.172073342736	0.0580947270865	0.0464110903058	1.0	0.25	0.53879766273	0.75	0.0	0.194244604317	0.431715460462	0.169950738916	0.155216284987	0.5	0.215827338129	0.0	1.0	0.304556354917	0.269784172661	0.453237410071	0.179453836151	0.302716176027	0.587882822903	0.567663757309	
3	0.0	0.0831596498541	0.0	0.628571428571	0.0	0.00564174894217	0.874469538071	0.570593607306	0.0	0.25	0.983954695612	0.0	0.0	0.2	0.12770066385	0.0147783251232	0.0152671755725	0.25	0.4	0.0	1.0	0.266666666667	0.25	0.381818181818	0.00520156046814	0.169105691057	0.259986684421	0.0677061265994	
4	0.0	0.0739891621509	0.0	1.0	0.0869565217391	0.0225669957687	0.652334032486	0.236966448283	0.0	0.5	0.130879345603	0.0	0.333333333333	0.260869565217	0.0710031224578	0.00492610837438	0.0	0.5	0.0434782608696	0.097077761268	1.0	0.217391304347	0.163043478261	0.91304347826	0.0286085825748	0.0174565625256	0.496671105193	0.0341496483349	
5	0.0	0.0110462692789	0.0	0.571428571429	0.108695652174	0.163610719323	0.753646163602	0.026550195222	0.5	0.75	0.426600398644	0.5	0.0	0.572463768116	0.352575371939	0.105911330049	0.0966921119593	0.75	0.0507246376812	0.108865775136	1.0	0.743961352657	0.280797101449	0.0830039525692	0.178153446034	0.21661183167	0.333888149134	0.00855859672909	
6	0.0	0.0466861192163	0.0	0.457142857143	0.380952380952	0.0267983074753	0.457050875567	0.260578386606	0.0	0.75	0.443988526811	0.75	0.0	0.047619047619	0.544759605713	0.0369458128079	0.0229007633588	0.75	0.0952380952381	0.336701337296	1.0	0.349206349207	0.416666666666	0.272727272727	0.0260078023407	0.336936775962	0.498668442077	0.109312770104	
7	0.0	0.145477282201	0.0	0.285714285714	0.0888888888889	0.0592383638928	0.0684112970099	0.158132927448	1.0	1.0	0.623324795997	1.0	0.0	0.533333333333	0.503641118487	0.125615763547	0.089058524173	1.0	0.133333333333	0.0	1.0	0.65925925926	0.222222222222	0.127272727273	0.0572171651495	0.384184559795	0.648468708389	0.237183289552	
8	0.0	0.176531888287	0.0	0.228571428571	0.103448275862	0.0380818053597	0.269133213014	0.121051802866	0.25	0.5	0.588369664534	0.75	0.0	0.206896551724	0.18421326452	0.0147783251232	0.0127226463104	0.5	0.310344827586	0.455572065379	1.0	0.32183908046	0.258620689655	0.329153605015	0.036410923277	0.148325462034	0.319906790945	0.194983475977	
9	0.0	0.208211754898	0.0	0.2	0.0606060606061	0.197461212976	0.0101946246525	0.0516286149162	0.25	1.0	0.280998619784	1.0	1.0	0.70303030303	0.437424333863	0.174876847291	0.0941475826972	1.0	0.0242424242424	0.0	1.0	0.828282828283	0.219696969697	0.0694214876032	0.213263979194	0.214482536434	0.776298268975	0.19286501144	
10	0.0	0.226344310129	0.0	0.342857142857	0.125	0.0634696755994	0.150529242476	0.153805175038	0.5	0.75	0.443594019895	0.5	0.833333333333	0.354166666667	0.276755180044	0.0492610837438	0.0330788804071	0.75	0.104166666667	0.178207033185	1.0	0.61111111111	0.442708333334	0.119318181818	0.0611183355007	0.176334167188	0.672769640479	0.0934666553682	
11	0.0	0.205085452272	0.0	0.628571428571	0.0227272727273	0.119887165021	0.054997317204	0.0859277708592	0.0	1.0	0.419591115341	0.0	1.0	0.670454545455	0.260067482306	0.0492610837438	0.0381679389313	1.0	0.0227272727273	0.356414066369	1.0	0.776515151517	0.241477272727	0.173553719008	0.113133940182	0.160597532549	0.689081225033	0.21811710872	
12	0.0	0.191329720717	0.0	0.685714285714	0.0602409638554	0.341325811001	0.744280766792	0.0204742256698	0.25	1.0	0.185560776508	1.0	1.0	0.73734939759	0.105407508125	0.113300492611	0.0636132315522	1.0	0.0385542168675	0.0	1.0	0.8281124498	0.156626506024	0.0736035049288	0.538361508453	0.0384155760001	0.774300932091	0.236929073807	
