98	110	0.02	0.02
66	51	0.02	0.02
112	73	0.02	0.02
113	77	0.02	0.02
61	22	0.02	0.02
49	96	0.02	0.02
82	42	0.02	0.02
82	40	0.02	0.02
9	103	0.02	0.02
123	121	0.02	0.02
75	29	0.02	0.02
68	67	0.02	0.02
29	52	0.02	0.02
104	90	0.02	0.02
103	110	0.02	0.02
59	61	0.02	0.02
11	70	0.02	0.02
103	114	0.02	0.02
39	38	0.02	0.02
63	100	0.02	0.02
112	105	0.02	0.02
2	103	0.02	0.02
2	102	0.02	0.02
66	46	0.02	0.02
7	15	0.02	0.02
99	102	0.02	0.02
62	11	0.02	0.02
21	99	0.02	0.02
95	81	0.02	0.02
103	21	0.02	0.02
24	100	0.02	0.02
42	102	0.02	0.02
76	94	0.02	0.02
23	74	0.02	0.02
2	31	0.02	0.02
11	72	0.02	0.02
92	29	0.02	0.02
124	62	0.02	0.02
62	49	0.02	0.02
9	55	0.02	0.02
102	71	0.02	0.02
72	49	0.02	0.02
90	94	0.02	0.02
32	25	0.02	0.02
124	58	0.02	0.02
82	73	0.02	0.02
101	99	0.02	0.02
4	32	0.02	0.02
97	50	0.02	0.02
82	75	0.02	0.02
80	22	0.02	0.02
120	41	0.02	0.02
68	15	0.02	0.02
89	88	0.02	0.02
21	31	0.02	0.02
15	104	0.02	0.02
12	95	0.02	0.02
41	92	0.02	0.02
6	51	0.02	0.02
71	124	0.02	0.02
39	22	0.02	0.02
103	120	0.02	0.02
13	77	0.02	0.02
2	29	0.02	0.02
63	113	0.02	0.02
63	116	0.02	0.02
123	23	0.02	0.02
31	102	0.02	0.02
109	55	0.02	0.02
13	113	0.02	0.02
15	45	0.02	0.02
42	111	0.02	0.02
99	87	0.02	0.02
107	99	0.02	0.02
101	87	0.02	0.02
113	26	0.02	0.02
70	13	0.02	0.02
101	106	0.02	0.02
11	60	0.02	0.02
85	28	0.02	0.02
101	103	0.02	0.02
2	48	0.02	0.02
49	51	0.02	0.02
64	2	0.02	0.02
11	13	0.02	0.02
10	47	0.02	0.02
124	70	0.02	0.02
103	56	0.02	0.02
82	103	0.02	0.02
86	85	0.02	0.02
13	72	0.02	0.02
54	92	0.02	0.02
7	37	0.02	0.02
104	96	0.02	0.02
114	21	0.02	0.02
114	27	0.02	0.02
75	2	0.02	0.02
50	43	0.02	0.02
19	91	0.02	0.02
62	70	0.02	0.02
123	63	0.02	0.02
62	72	0.02	0.02
102	82	0.02	0.02
101	114	0.02	0.02
62	77	0.02	0.02
24	123	0.02	0.02
113	117	0.02	0.02
30	25	0.02	0.02
71	1	0.02	0.02
106	99	0.02	0.02
89	86	0.02	0.02
89	85	0.02	0.02
90	8	0.02	0.02
110	102	0.02	0.02
35	23	0.02	0.02
48	75	0.02	0.02
55	24	0.02	0.02
72	113	0.02	0.02
57	88	0.02	0.02
43	25	0.02	0.02
85	57	0.02	0.02
36	74	0.02	0.02
70	55	0.02	0.02
101	110	0.02	0.02
72	60	0.02	0.02
51	46	0.02	0.02
51	47	0.02	0.02
72	65	0.02	0.02
79	2	0.02	0.02
110	40	0.02	0.02
48	103	0.02	0.02
113	66	0.02	0.02
66	8	0.02	0.02
62	65	0.02	0.02
67	7	0.02	0.02
22	32	0.02	0.02
70	72	0.02	0.02
34	113	0.02	0.02
91	57	0.02	0.02
113	60	0.02	0.02
49	104	0.02	0.02
79	123	0.02	0.02
115	34	0.02	0.02
29	103	0.02	0.02
92	42	0.02	0.02
92	52	0.02	0.02
28	91	0.02	0.02
113	109	0.02	0.02
55	103	0.02	0.02
123	55	0.02	0.02
3	86	0.02	0.02
12	120	0.02	0.02
85	3	0.02	0.02
89	91	0.02	0.02
113	51	0.02	0.02
92	48	0.02	0.02
96	51	0.02	0.02
12	118	0.02	0.02
103	40	0.02	0.02
25	59	0.02	0.02
90	45	0.02	0.02
55	69	0.02	0.02
103	54	0.02	0.02
92	112	0.02	0.02
53	30	0.02	0.02
72	77	0.02	0.02
107	103	0.02	0.02
107	102	0.02	0.02
23	116	0.02	0.02
39	30	0.02	0.02
104	94	0.02	0.02
16	5	0.02	0.02
51	26	0.02	0.02
103	75	0.02	0.02
60	62	0.02	0.02
95	92	0.02	0.02
111	102	0.02	0.02
9	1	0.02	0.02
13	55	0.02	0.02
99	103	0.02	0.02
52	2	0.02	0.02
97	25	0.02	0.02
28	86	0.02	0.02
22	30	0.02	0.02
122	55	0.02	0.02
8	104	0.02	0.02
80	30	0.02	0.02
68	7	0.02	0.02
15	67	0.02	0.02
5	23	0.02	0.02
96	72	0.02	0.02
92	56	0.02	0.02
78	124	0.02	0.02
3	91	0.02	0.02
119	117	0.02	0.02
82	92	0.02	0.02
66	26	0.02	0.02
14	79	0.02	0.02
119	113	0.02	0.02
14	74	0.02	0.02
48	52	0.02	0.02
62	119	0.02	0.02
102	114	0.02	0.02
59	22	0.02	0.02
17	118	0.02	0.02
109	123	0.02	0.02
82	111	0.02	0.02
95	54	0.02	0.02
36	16	0.02	0.02
55	64	0.02	0.02
83	84	0.02	0.02
53	22	0.02	0.02
118	120	0.02	0.02
65	11	0.02	0.02
107	110	0.02	0.02
99	114	0.02	0.02
103	18	0.02	0.02
95	103	0.02	0.02
124	1	0.02	0.02
79	74	0.02	0.02
113	124	0.02	0.02
39	61	0.02	0.02
77	60	0.02	0.02
113	123	0.02	0.02
124	9	0.02	0.02
19	3	0.02	0.02
2	92	0.02	0.02
10	46	0.02	0.02
88	3	0.02	0.02
23	100	0.02	0.02
22	4	0.02	0.02
122	22	0.02	0.02
63	55	0.02	0.02
6	10	0.02	0.02
22	25	0.02	0.02
47	6	0.02	0.02
2	21	0.02	0.02
9	82	0.02	0.02
120	17	0.02	0.02
35	16	0.02	0.02
87	103	0.02	0.02
10	66	0.02	0.02
17	95	0.02	0.02
44	117	0.02	0.02
95	88	0.02	0.02
47	46	0.02	0.02
74	24	0.02	0.02
3	28	0.02	0.02
18	75	0.02	0.02
33	102	0.02	0.02
35	74	0.02	0.02
102	40	0.02	0.02
31	98	0.02	0.02
89	3	0.02	0.02
75	9	0.02	0.02
9	78	0.02	0.02
120	95	0.02	0.02
24	35	0.02	0.02
88	91	0.02	0.02
113	11	0.02	0.02
120	92	0.02	0.02
79	64	0.02	0.02
1	82	0.02	0.02
2	82	0.02	0.02
82	33	0.02	0.02
51	10	0.02	0.02
41	118	0.02	0.02
26	47	0.02	0.02
40	101	0.02	0.02
82	101	0.02	0.02
82	106	0.02	0.02
93	23	0.02	0.02
40	99	0.02	0.02
118	16	0.02	0.02
116	55	0.02	0.02
100	55	0.02	0.02
9	92	0.02	0.02
9	52	0.02	0.02
108	15	0.02	0.02
43	53	0.02	0.02
106	102	0.02	0.02
62	113	0.02	0.02
